"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
63;"Census Records";"Microfilm (U.S.)";"Population schedules";"1880-1930";"L";"ESM250";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[FILM ID]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
63;"Census Records";"Microfilm (U.S.)";"Population schedules";"1880-1930";"F";"ESM250";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[DISTRICT]";;",";;;;;;;
;;;;;;;;"[SHEET NO.]";;".";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
63;"Census Records";"Microfilm (U.S.)";"Population schedules";"1880-1930";"S";"ESM250";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[DISTRICT]";;",";;;;;;;
;;;;;;;;"[SHEET NO.]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
64;"Census Records";"Microfilm (U.S.)";"Population schedules";"State-level copies";"L";"ESM251";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;",";"T";;;;;;
;;;;;;;;"[TYPE]";"Copy Type";".";"P";;;;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
64;"Census Records";"Microfilm (U.S.)";"Population schedules";"State-level copies";"F";"ESM251";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Copy Type";",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
64;"Census Records";"Microfilm (U.S.)";"Population schedules";"State-level copies";"S";"ESM251";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;;;;;;;;
;;;;;;;"(";"[TYPE]";"Copy Type";"),";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
65;"Census Records";"Microfilm (U.S.)";"State-sponsored censuses";;"L";"ESM252";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;".";"P";;;;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Film Repository";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
65;"Census Records";"Microfilm (U.S.)";"State-sponsored censuses";;"F";"ESM252";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;";";;"LOC";;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
65;"Census Records";"Microfilm (U.S.)";"State-sponsored censuses";;"S";"ESM252";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
66;"Census Records";"Derivatives";"Database";"CD/DVD";"L";"ESM253";;"[TITLE]";;".";"T";;"Italics";;;;
;;;;;;;;"[FORMAT]";"Record Format";".";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
66;"Census Records";"Derivatives";"Database";"CD/DVD";"F";"ESM253";;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[FORMAT]";"Record Format";;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[ID]";"Item ID";";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
66;"Census Records";"Derivatives";"Database";"CD/DVD";"S";"ESM253";;"[TITLE]";;",";;;"Italics";;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[ID]";"Item ID";".";;;;;;;
67;"Census Records";"Derivatives";"Database";"online";"L";"ESM254";;"[COMPILER]";;".";"P";;;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
67;"Census Records";"Derivatives";"Database";"online";"F";"ESM254";;"[COMPILER]";;",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
67;"Census Records";"Derivatives";"Database";"online";"S";"ESM254";;"[COMPILER]";;",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
68;"Census Records";"Derivatives";"Soundex & Miracode, microfilm";;"L";"ESM255";;"[JURISDICTION]";"State";".";"T";;;;;;
;;;;;;;;"[ID]";"Census ID";".";"T";;;;;;
;;;;;;;;"[FILM ID]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
68;"Census Records";"Derivatives";"Soundex & Miracode, microfilm";;"F";"ESM255";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";"State";",";;;;;;;
;;;;;;;;"[NUMBER]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
68;"Census Records";"Derivatives";"Soundex & Miracode, microfilm";;"S";"ESM255";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";"State";",";;;;;;;
;;;;;;;;"[NUMBER]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
69;"Census Records";"Derivatives";"Statistical database";"online";"L";"ESM256";;"[COMPILER]";;".";"P";;;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
69;"Census Records";"Derivatives";"Statistical database";"online";"F";"ESM256";;"[COMPILER]";;",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
69;"Census Records";"Derivatives";"Statistical database";"online";"S";"ESM256";;"[COMPILER]";;",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
70;"Church Records";"Church Books";"Named volume";"held by church";"L";"ESM311";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Quoted";;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
70;"Church Records";"Church Books";"Named volume";"held by church";"F";"ESM311";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;;;;;;;;
;;;;;;;"(";"[YEAR]";"Year(s)";");";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
70;"Church Records";"Church Books";"Named volume";"held by church";"S";"ESM311";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;"LOC";;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
71;"Church Records";"Church Books";"Named volume";"archived off-site";"L";"ESM312";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Quoted";;;;
;;;;;;;;"[COLLECTION]";;",";"T";;;;;;
;;;;;;;;"[VOLUME]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
71;"Church Records";"Church Books";"Named volume";"archived off-site";"F";"ESM312";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;"vol.";"[VOLUME]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
71;"Church Records";"Church Books";"Named volume";"archived off-site";"S";"ESM312";;"[AUTHOR]";"Church (Author)";",";;;;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";".";;;;;;;
72;"Church Records";"Church Books";"Numbered volume";"archived off-site";"L";"ESM313";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[SERIES]";"Record Series";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
72;"Church Records";"Church Books";"Numbered volume";"archived off-site";"F";"ESM313";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[SERIES]";"Record Series";;;;;;;;
;;;;;;;;"[VOLUME]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;;;;;;;;
;;;;;;;"(";"[YEAR]";"Year(s)";");";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
72;"Church Records";"Church Books";"Numbered volume";"archived off-site";"S";"ESM313";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;"LOC";;;;;
;;;;;;;;"[SERIES]";"Record Series";;;;;;;;
;;;;;;;;"[VOLUME]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
73;"Church Records";"Image Copies";"Digitized online";;"L";"ESM314";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[SERIES]";"Record Series";".";"T";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
73;"Church Records";"Image Copies";"Digitized online";;"F";"ESM314";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[ID]";"Record ID";",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;;;;;;;;
;;;;;;;;"[DATE]";"Date Entry";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;").";;;;;;;
73;"Church Records";"Image Copies";"Digitized online";;"S";"ESM314";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;"LOC";;;;;
;;;;;;;;"[ID]";"Record ID";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
74;"Church Records";"Image Copies";"Microfilm";"FHL-GSU preservation";"L";"ESM315";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[SERIES]";"Record Series";".";"T";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;".";"P";;;;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
74;"Church Records";"Image Copies";"Microfilm";"FHL-GSU preservation";"F";"ESM315";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
;;;;;;;;"[ID]";"Item ID";;;;;;;;
74;"Church Records";"Image Copies";"Microfilm";"FHL-GSU preservation";"S";"ESM315";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";".";;;;;;;
75;"Church Records";"Image Copies";"Microfilm";"LDS records at FHL";"L";"ESM316";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;".";"P";;;;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
75;"Church Records";"Image Copies";"Microfilm";"LDS records at FHL";"F";"ESM316";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;;;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
75;"Church Records";"Image Copies";"Microfilm";"LDS records at FHL";"S";"ESM316";;"[AUTHOR]";"Church (Author)";",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
76;"Church Records";"Image Copies";"Microfilm publication";;"L";"ESM317";;"[TITLE]";"Film Title";".";"T";;"Italics";;;;
;;;;;;;;"[TYPE]";"Record Type";",";"T";;;;;;
;;;;;;;;"[NUMBER (TOTAL)]";"No. of Rolls";"rolls.";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
76;"Church Records";"Image Copies";"Microfilm publication";;"F";"ESM317";;"[TITLE]";"Film Title";",";;;"Italics";;;;
;;;;;;;;"[TYPE]";"Record Type";",";;;;;;;
;;;;;;;;"[NUMBER (TOTAL)]";"No. of Rolls";"rolls";;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;"roll ";"[ROLL]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[DATE]";"Date Entry";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;"Quoted";;;;
76;"Church Records";"Image Copies";"Microfilm publication";;"S";"ESM317";;"[TITLE]";"Film Title";",";;;"Italics";;;;
;;;;;;;;"[ROLL]";;",";;;;;;;
;;;;;;;;"[DATE]";"Date Entry";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;"Quoted";;;;
77;"Church Records";"Derivatives";"Church-issued certificate";;"L";"ESM318";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Collection Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
77;"Church Records";"Derivatives";"Church-issued certificate";;"F";"ESM318";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[COLLECTION]";;;;;;;;;
;;;;;;;"(";"[REPOSITORY]";"Collection Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";"),";;;;;;;
;;;;;;;;"[ID]";"Certificate ID";",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";"When Issued";",";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
77;"Church Records";"Derivatives";"Church-issued certificate";;"S";"ESM318";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[ID]";"Certificate ID";",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";"When Issued";".";;;;;;;
78;"Church Records";"Derivatives";"Church record book, recopied";;"L";"ESM319";;"[AUTHOR]";"Church (Author)";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[TITLE]";"Record Book Title";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
78;"Church Records";"Derivatives";"Church record book, recopied";;"F";"ESM319";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[TITLE]";"Record Book Title";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;;;;;;;;
;;;;;;;"(";"[YEAR]";"Year(s)";");";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
78;"Church Records";"Derivatives";"Church record book, recopied";;"S";"ESM319";;"[AUTHOR]";"Church (Author)";;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;"LOC";;;;;
;;;;;;;;"[TITLE]";"Record Book Title";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
79;"Church Records";"Derivatives";"Church-records database";"online";"L";"ESM320";;"[COMPILER]";;;"A";"SG";;;;;
;;;;;;;;"[TITLE]";;".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
79;"Church Records";"Derivatives";"Church-records database";"online";"F";"ESM320";;"[COMPILER]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";;".";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
79;"Church Records";"Derivatives";"Church-records database";"online";"S";"ESM320";;"[COMPILER]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
80;"Local & State Records: Courts & Governance";"Original Records";"Local";"Case files";"L";"ESM373";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
80;"Local & State Records: Courts & Governance";"Original Records";"Local";"Case files";"F";"ESM373";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;"File";"[FILE NO.]";;",";;;;;;;
;;;;;;;;"[CASE]";"Case Label";",";;;;;;;
;;;;;;;"for";"[ITEM OF INTEREST]";;",";;;"Quoted";;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
80;"Local & State Records: Courts & Governance";"Original Records";"Local";"Case files";"S";"ESM373";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;"File";"[FILE NO.]";;",";;;;;;;
;;;;;;;;"[CASE]";"Case Label";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
81;"Local & State Records: Courts & Governance";"Original Records";"Local";"Record Books";"L";"ESM374";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;;"T";;;;;;
;;;;;;;;"[VOLUME]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
81;"Local & State Records: Courts & Governance";"Original Records";"Local";"Record Books";"F";"ESM374";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
81;"Local & State Records: Courts & Governance";"Original Records";"Local";"Record Books";"S";"ESM374";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
82;"Local & State Records: Courts & Governance";"Original Records";"Local";"Record Books, archived off-site";"L";"ESM375";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
